id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
60245_0002,26.54,MACRON,25.18,35.59,LE PEN,45.58,64.41
60245_0003,13.89,MACRON,36.11,41.94,LE PEN,50.0,58.06
60247_0001,10.31,MACRON,14.43,18.18,LE PEN,64.95,81.82
60248_0001,22.67,MACRON,19.77,26.56,LE PEN,54.65,73.44
60249_0001,17.72,MACRON,30.38,39.67,LE PEN,46.2,60.33
60250_0001,17.15,MACRON,43.31,58.43,LE PEN,30.81,41.57
60251_0001,17.05,MACRON,34.56,46.01,LE PEN,40.55,53.99
60252_0001,17.82,MACRON,31.12,41.05,LE PEN,44.68,58.95
60253_0001,21.26,MACRON,26.95,36.44,LE PEN,47.01,63.56
60254_0001,16.09,MACRON,35.06,46.21,LE PEN,40.8,53.79
60255_0001,29.82,MACRON,24.21,36.7,LE PEN,41.75,63.3
60256_0002,24.41,MACRON,24.17,34.11,LE PEN,46.68,65.89
60256_0001,21.42,MACRON,33.51,45.54,LE PEN,40.07,54.46
60257_0001,18.18,MACRON,32.47,41.49,LE PEN,45.78,58.51
60258_0001,11.93,MACRON,19.27,23.6,LE PEN,62.39,76.4
60259_0001,20.37,MACRON,30.02,40.58,LE PEN,43.95,59.42
60260_0001,26.4,MACRON,26.78,40.06,LE PEN,40.08,59.94
60261_0001,18.25,MACRON,38.75,51.5,LE PEN,36.5,48.5
60262_0001,20.83,MACRON,23.44,32.61,LE PEN,48.44,67.39
60263_0001,25.11,MACRON,28.31,39.24,LE PEN,43.84,60.76
60264_0001,14.75,MACRON,40.44,52.48,LE PEN,36.61,47.52
60265_0001,18.33,MACRON,28.47,37.75,LE PEN,46.94,62.25
60267_0001,11.72,MACRON,27.34,35.35,LE PEN,50.0,64.65
60268_0001,20.52,MACRON,27.24,37.44,LE PEN,45.52,62.56
60269_0001,23.36,MACRON,28.47,40.63,LE PEN,41.61,59.38
60270_0001,17.0,MACRON,39.53,50.76,LE PEN,38.34,49.24
60271_0001,11.88,MACRON,51.49,60.47,LE PEN,33.66,39.53
60272_0001,18.54,MACRON,33.64,46.08,LE PEN,39.36,53.92
60273_0001,17.72,MACRON,39.86,53.94,LE PEN,34.03,46.06
60274_0001,16.72,MACRON,39.02,51.38,LE PEN,36.93,48.62
60275_0001,19.5,MACRON,30.19,41.74,LE PEN,42.14,58.26
